FECHA_CORTE;PER;CONG;NSELV;DOMINIO;ESTRATO;ESTRATOSOCIO;FACTORFINAL_HOGAR;CCDD;NOMBREDD;CCPP;NOMBREPP;CCDI;NOMBREDI;CCCP;NOMBRECP;UBIGEO;VIVIENDA;HOGAR;TOT_HOGAR;RESFIN;RESFIN_O;RESFIN_V;RESFIN_V_O;PERS_NRO;P201;P203;P206;P207;P208;P209;P210_A;P210_M;INF_500;P501_1_1;P501_1_2;P501_2_1;P501_2_2;P501_3_1;P501_3_2;P501_4_1;P501_4_2;P501_5_1;P501_5_2;P501_6_1;P501_6_2;P501_7_1;P501_7_2;PERS_500;P504_A;P504_M;P504A_1;P504A_2;P504A_3;P504A_4;P504A_5;P504A_6;P504A_7;P505;P506;P507;P508;P509;P510;P513;P513A;P513A_O;P514_1;P514_2;P514_3;P515;P516;P517;P517_O;P518A;P518;P519A;P519;P520A;P520;FACTOR200_FINAL
20230426;4;2;119;1;5;2;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;4;1;1;1;;1;;3;3;3;1;2;NA;1;13;NA;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;3;13;NA;1;0;0;0;0;0;0;1;1;1;1;2;2;13;10;;3;1;NA;1;2;NA;;1;1;2;NA;2;NA;11.439.182
20230426;4;2;119;1;5;2;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;4;1;1;1;;1;;4;4;3;1;2;NA;2;7;NA;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;4;7;NA;0;0;0;0;0;0;1;1;1;1;6;3;3;7;10;;2;NA;1;1;3;NA;;1;1;2;NA;2;NA;1.044.162.459
20230426;4;2;146;1;5;2;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;5;1;1;1;;1;;3;3;3;1;2;NA;2;1;NA;1;1;2;1;2;1;5;1;2;1;3;1;2;2;NA;3;1;NA;0;0;0;0;0;0;1;7;1;2;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.044.162.459
20230426;4;2;252;1;5;2;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;12;1;1;1;;1;;2;2;3;1;2;NA;2;9;NA;1;1;2;2;NA;2;NA;1;2;1;1;1;2;2;NA;2;9;NA;0;0;0;0;0;0;1;3;1;2;6;5;4;9;10;;2;NA;3;1;2;NA;;1;1;2;NA;2;NA;1.044.162.459
20230426;4;2;277;1;5;2;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;8;1;1;1;;1;;3;3;3;1;2;NA;2;9;NA;1;1;2;1;2;1;2;1;2;1;1;1;2;1;3;3;9;NA;0;0;0;0;0;0;1;1;1;1;6;7;4;9;10;;2;NA;3;2;2;NA;;1;1;2;NA;2;NA;1.044.162.459
20230426;4;2;277;1;5;2;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;8;1;1;1;;1;;4;4;3;1;2;NA;1;5;NA;1;1;2;1;2;1;2;1;2;1;1;1;2;1;3;4;5;NA;0;0;0;0;0;0;1;7;1;1;6;7;4;5;10;;1;2;NA;1;7;2;;NA;NA;NA;NA;NA;NA;11.439.182
20230426;12;10;3;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;1;1;1;1;;1;;3;3;3;1;2;NA;1;9;NA;2;1;3;1;3;2;NA;2;NA;1;2;1;2;2;NA;3;9;NA;0;0;0;0;0;0;1;7;2;6;3;7;4;9;10;;2;NA;4;1;3;NA;;2;NA;2;NA;2;NA;9.151.345.601
20230426;12;10;50;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;2;1;1;1;;1;;3;3;3;1;2;NA;1;10;NA;2;1;1;1;2;1;5;1;2;1;2;2;NA;2;NA;3;10;NA;0;0;0;0;0;0;1;3;2;6;6;7;4;10;10;;2;NA;4;2;3;NA;;2;NA;2;NA;2;NA;9.151.345.601
20230426;12;10;50;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;2;1;1;1;;1;;4;4;3;1;2;NA;1;4;NA;2;1;1;1;2;1;5;1;2;1;2;2;NA;2;NA;4;4;NA;0;0;0;0;0;0;1;7;2;6;6;7;4;4;10;;1;1;NA;1;3;NA;;NA;NA;NA;NA;NA;NA;9.151.345.601
20230426;12;10;161;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;6;1;1;1;;1;;3;3;3;1;2;NA;2;12;NA;2;1;2;1;2;2;NA;1;3;1;2;2;NA;2;NA;3;12;NA;0;0;0;0;0;0;1;4;2;6;6;7;4;12;10;;2;NA;6;1;3;NA;;2;NA;2;NA;2;NA;8.353.299.671
